C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Er (GPa),sy (GPa)
126.9678466,201750.7955,0.728192271,0.266241098,109.63,1.121
137.9051852,203898.5387,0.714701712,0.255464745,109.63,1.121
150.736307,196472.9784,0.711110193,0.244350525,109.63,1.121
141.7433134,200443.2308,0.7324525,0.25198267,109.63,1.121
136.6044507,204841.2545,0.726317212,0.256678441,109.63,1.121
137.3979735,206948.0318,0.721046418,0.255935599,109.63,1.121
146.0571889,201650.9213,0.721964306,0.248233091,109.63,1.121
132.1395344,206140.3185,0.726345876,0.260979376,109.63,1.121
144.7529248,203594.2437,0.7231408,0.2493489,109.63,1.121
141.2236757,206872.2737,0.716347052,0.25244576,109.63,1.121
145.1474237,198212.7046,0.710148632,0.249010007,109.63,1.121
135.9979591,207852.4068,0.730852852,0.257250054,109.63,1.121
135.1384759,205918.5339,0.73541557,0.258066626,109.63,1.121
128.5424897,202655.9817,0.730372635,0.264605373,109.63,1.121
128.2353965,201043.698,0.733075866,0.264921988,109.63,1.121
134.9609962,205525.416,0.728235948,0.258236644,109.63,1.121
132.7080924,202193.7133,0.728291863,0.260419599,109.63,1.121
133.5688409,204058.1126,0.727644146,0.259579105,109.63,1.121
134.0713251,205983.1072,0.733958507,0.259091754,109.63,1.121
133.7273094,204499.6879,0.732353278,0.259424434,109.63,1.121
129.1772456,210772.6982,0.730079103,0.263953958,109.63,1.121
138.6845241,201511.5253,0.731311074,0.254746313,109.63,1.121
148.2058412,203300.6887,0.712747647,0.246427624,109.63,1.121
130.4816424,208519.266,0.730689166,0.262631434,109.63,1.121
147.1270017,197133.7205,0.72201508,0.247329552,109.63,1.121
135.8787889,205891.1451,0.734412028,0.257362638,109.63,1.121
124.7300965,201780.1678,0.734419538,0.268619088,109.63,1.121
133.8326296,208488.617,0.731714766,0.259322634,109.63,1.121
143.0121975,201652.8652,0.712829777,0.250862276,109.63,1.121
128.3746152,210605.1867,0.72801389,0.264778062,109.63,1.121
136.6284397,198512.368,0.717090234,0.256656566,109.63,1.121
131.3135865,207654.0941,0.739575683,0.2617978,109.63,1.121
145.7065443,194458.1558,0.717313538,0.24853191,109.63,1.121
145.7784803,194880.2445,0.708299731,0.24847042,109.63,1.121
130.1448112,198554.3986,0.720440221,0.262971001,109.63,1.121
157.7398914,197980.1685,0.71090849,0.238864193,109.63,1.121
