Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
0,90.04616137,201750.7957,0.728192271,0.316147222,0.00900003,109.63,1.121
1,96.60305597,203898.5387,0.714701712,0.305229032,0.009000001,109.63,1.121
2,103.9322109,196472.9786,0.711110193,0.294270773,0.00900004,109.63,1.121
3,98.60902877,200443.2305,0.7324525,0.302108971,0.009000029,109.63,1.121
4,95.73674571,204841.2547,0.726317212,0.306607297,0.009000023,109.63,1.121
5,96.20164424,206948.0321,0.721046418,0.30586488,0.008999984,109.63,1.121
6,101.1728644,201650.9213,0.721964306,0.298255954,0.008999995,109.63,1.121
7,93.22399062,206140.3186,0.726345876,0.310712503,0.009000055,109.63,1.121
8,100.5031621,203594.244,0.7231408,0.299248007,0.008999995,109.63,1.121
9,98.55684805,206872.2742,0.716347052,0.302188848,0.009000024,109.63,1.121
10,100.8430653,198212.7047,0.710148632,0.298743488,0.009000009,109.63,1.121
11,95.35338058,207852.4065,0.730852852,0.307222927,0.009000017,109.63,1.121
12,94.81381011,205918.5343,0.73541557,0.30809564,0.009000004,109.63,1.121
13,91.02515924,202655.9818,0.730372635,0.314442535,0.009000031,109.63,1.121
14,90.77667967,201043.6983,0.733075866,0.314872563,0.009000029,109.63,1.121
15,94.79052619,205525.4159,0.728235948,0.308133942,0.009000031,109.63,1.121
16,93.48156718,202193.7131,0.728291863,0.310283996,0.009000046,109.63,1.121
17,94.06601907,204058.1127,0.727644146,0.309318522,0.009000044,109.63,1.121
18,94.27623494,205983.1078,0.733958507,0.308972927,0.009000012,109.63,1.121
19,93.90091617,204499.6882,0.732353278,0.309589353,0.008999987,109.63,1.121
20,91.40535319,210772.6986,0.730079103,0.313787307,0.008999997,109.63,1.121
21,96.8886807,201511.5254,0.731311074,0.304779243,0.009000027,109.63,1.121
22,102.5824263,203300.6886,0.712747647,0.296200349,0.009000033,109.63,1.121
23,92.27636248,208519.2658,0.730689166,0.312303017,0.009000007,109.63,1.121
24,101.6821802,197133.7201,0.72201508,0.297508775,0.009000039,109.63,1.121
25,95.2811632,205891.145,0.734412028,0.307339095,0.009000003,109.63,1.121
26,88.74370126,201780.1676,0.734419538,0.318459149,0.009000052,109.63,1.121
27,94.16682632,208488.6176,0.731714766,0.309152286,0.009000007,109.63,1.121
28,99.57754164,201652.865,0.712829777,0.300636148,0.009000027,109.63,1.121
29,90.98363931,210605.1869,0.72801389,0.314513958,0.009000013,109.63,1.121
30,95.91857422,198512.3677,0.717090234,0.306317336,0.00900007,109.63,1.121
31,92.54454271,207654.0941,0.739575683,0.311849762,0.008999982,109.63,1.121
32,100.9942045,194458.1556,0.717313538,0.298520018,0.009000018,109.63,1.121
33,101.0638834,194880.2445,0.708299731,0.298416898,0.009000006,109.63,1.121
34,92.11991684,198554.3983,0.720440221,0.312568005,0.009000001,109.63,1.121
35,107.8210094,197980.1685,0.71090849,0.288915022,0.009000023,109.63,1.121
36,98.02880907,199916.8949,0.724593444,0.303001213,0.008999999,109.63,1.121
37,95.28947877,201942.9284,0.715177489,0.3073257,0.009000004,109.63,1.121
38,94.39628862,204943.4849,0.741714253,0.308776442,0.009000015,109.63,1.121
39,91.28129378,199209.756,0.722266567,0.314000694,0.00900001,109.63,1.121
40,92.83082785,203094.3358,0.735488587,0.311369129,0.009000017,109.63,1.121
41,99.74316099,196219.2078,0.713538941,0.300386594,0.009000035,109.63,1.121
42,95.07912477,204422.3992,0.734241352,0.307666036,0.009000037,109.63,1.121
43,97.88424159,198734.6095,0.723990387,0.303225025,0.009000007,109.63,1.121
44,100.8889849,200702.2196,0.717481934,0.298675526,0.009000011,109.63,1.121
45,92.64119065,198412.1391,0.725792563,0.311688459,0.009000063,109.63,1.121
46,94.63703082,198372.5958,0.717384563,0.308382622,0.008999967,109.63,1.121
47,85.78509317,212396.8077,0.754512934,0.323903703,0.009000024,109.63,1.121
48,99.39997789,199304.7936,0.71626055,0.300904501,0.009000024,109.63,1.121
49,102.5302935,197262.5866,0.725887836,0.296275467,0.009000022,109.63,1.121
50,95.18642714,204594.387,0.724333572,0.30749189,0.008999997,109.63,1.121
51,93.70238601,208399.1929,0.729317315,0.309917794,0.009000024,109.63,1.121
52,96.53508437,201283.5449,0.73008253,0.305336899,0.009000026,109.63,1.121
53,97.41720264,203048.4355,0.721505455,0.303950823,0.008999996,109.63,1.121
54,99.99872715,200764.1943,0.721019351,0.300001958,0.009000003,109.63,1.121
55,107.9368068,200020.1662,0.704288019,0.288759669,0.009000003,109.63,1.121
56,92.14034201,202629.1486,0.729995819,0.31253382,0.009000028,109.63,1.121
57,94.29013281,199325.6342,0.725528842,0.30895033,0.009000022,109.63,1.121
58,104.0940062,192856.5396,0.707113583,0.29404118,0.00899999,109.63,1.121
59,101.823569,200429.326,0.724525117,0.297302082,0.009000035,109.63,1.121
60,95.56509153,202206.8259,0.724961571,0.306882857,0.009000042,109.63,1.121
61,90.91574315,202240.7386,0.725393922,0.314631648,0.009000029,109.63,1.121
62,100.5743082,206428.972,0.723580579,0.299143035,0.009000048,109.63,1.121
63,92.92696611,205102.0643,0.737496162,0.311207167,0.008999967,109.63,1.121
64,95.4698304,199506.1088,0.719054777,0.307035178,0.008999998,109.63,1.121
65,100.1924317,197265.547,0.715875748,0.299711936,0.00900001,109.63,1.121
66,104.5527759,196358.7256,0.713213794,0.293395127,0.008999976,109.63,1.121
67,96.3265962,198803.2903,0.720239243,0.305667327,0.009000036,109.63,1.121
68,92.75080008,199327.1533,0.738672018,0.311503274,0.009000008,109.63,1.121
