Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
0,147.3926492,195791.661,0.720761824,0.247106138,0.009000008,109.63,1.102
1,141.899818,196543.4841,0.729032424,0.251843526,0.009000019,109.63,1.102
2,141.3049361,200371.9326,0.716449162,0.25237374,0.009000065,109.63,1.102
3,126.9593772,196805.4692,0.715227156,0.266249772,0.009000016,109.63,1.102
4,134.3143112,198688.7911,0.726966828,0.25885742,0.009000021,109.63,1.102
5,130.3792458,201951.9463,0.733445313,0.262734327,0.008999992,109.63,1.102
6,155.6511551,199372.2585,0.704424845,0.240461139,0.008999992,109.63,1.102
7,134.6938286,204519.6113,0.752296434,0.258492549,0.009000026,109.63,1.102
8,119.158838,198639.6974,0.733328738,0.274826441,0.009000016,109.63,1.102
9,146.6024039,198904.4451,0.722108314,0.247771039,0.008999993,109.63,1.102
10,139.0847959,196511.5559,0.7241777,0.254379567,0.009000033,109.63,1.102
11,137.145687,196377.9277,0.716757495,0.256171702,0.00900004,109.63,1.102
12,152.5565463,200234.9046,0.72380776,0.242888396,0.009000039,109.63,1.102
13,147.5384162,198501.0845,0.710202416,0.246984493,0.009000041,109.63,1.102
14,139.3734908,202206.2795,0.719485816,0.254115607,0.009000007,109.63,1.102
15,142.8578343,199534.2439,0.713624238,0.250997615,0.009000015,109.63,1.102
16,143.7713954,197714.4052,0.704537467,0.250199208,0.009000038,109.63,1.102
17,144.6023609,197844.323,0.713695008,0.249478989,0.009000017,109.63,1.102
18,154.0429877,203522.4592,0.726800491,0.241713843,0.009000051,109.63,1.102
19,142.7565763,199249.9168,0.725312721,0.251086321,0.008999994,109.63,1.102
20,146.1937963,197616.4131,0.714043507,0.248117462,0.009000023,109.63,1.102
21,143.7889238,196471.1543,0.722364616,0.250183839,0.00900003,109.63,1.102
22,141.5890046,201043.0467,0.717556286,0.252119883,0.009000025,109.63,1.102
23,140.3537583,197164.6768,0.70725688,0.253227093,0.009000039,109.63,1.102
24,153.3275735,199771.4974,0.72743687,0.242276457,0.009000004,109.63,1.102
25,129.8933518,209742.1871,0.744301768,0.263225503,0.009000007,109.63,1.102
26,149.2108395,193947.5437,0.707658843,0.245596253,0.009000028,109.63,1.102
27,130.7941088,200352.2268,0.731639619,0.262318199,0.009000052,109.63,1.102
28,149.3166528,194158.7454,0.715216986,0.245509255,0.009000031,109.63,1.102
29,147.0868803,197807.2549,0.712679773,0.247362631,0.008999992,109.63,1.102
30,139.7272684,203164.9217,0.733085915,0.253794208,0.009000043,109.63,1.102
31,149.1922802,194326.2747,0.704003411,0.245611712,0.009000041,109.63,1.102
32,110.122627,201578.7193,0.725034134,0.285879782,0.009000019,109.63,1.102
33,145.5082458,199971.8296,0.722514768,0.248701061,0.009000008,109.63,1.102
34,127.9298703,200831.268,0.728597429,0.265237987,0.009000019,109.63,1.102
35,136.1511565,200443.1782,0.711415971,0.257105213,0.009000012,109.63,1.102
36,143.215683,198788.612,0.706970338,0.250684224,0.009000043,109.63,1.102
37,150.7039651,194006.6397,0.716758579,0.244376219,0.009000001,109.63,1.102
38,160.23077,193058.0958,0.709193316,0.237000347,0.009000029,109.63,1.102
39,141.4399371,202906.291,0.728702421,0.252252798,0.009000032,109.63,1.102
40,112.528231,203616.0408,0.719634731,0.28280701,0.008999986,109.63,1.102
41,163.3295282,196338.7016,0.705386538,0.234741113,0.009000011,109.63,1.102
42,142.9524298,204367.1444,0.731921453,0.250914668,0.009000023,109.63,1.102
43,125.9682094,207875.1283,0.74248089,0.267294842,0.008999992,109.63,1.102
44,126.9071816,204730.6587,0.742387816,0.266304683,0.009000027,109.63,1.102
45,141.0072411,202383.737,0.72481476,0.252639515,0.00900003,109.63,1.102
46,133.2990818,196500.3083,0.71732989,0.25984159,0.009000041,109.63,1.102
47,150.0303308,196465.6561,0.710606309,0.244924402,0.009000014,109.63,1.102
48,139.4047056,200319.9012,0.731600178,0.254087961,0.009000064,109.63,1.102
49,138.0387297,195007.1563,0.720972866,0.255341822,0.009000049,109.63,1.102
50,140.1936916,199609.6774,0.716252318,0.253371472,0.009000029,109.63,1.102
51,148.6995969,201814.8828,0.726938264,0.246017916,0.009000016,109.63,1.102
52,159.1724717,200136.5035,0.712099995,0.237786505,0.008999997,109.63,1.102
53,146.9239311,202675.1884,0.728875527,0.247500894,0.009000074,109.63,1.102
54,146.0102414,199859.1178,0.723960645,0.248273358,0.009000022,109.63,1.102
55,148.9060712,199295.8479,0.724731327,0.245846995,0.008999994,109.63,1.102
56,152.4109021,197445.3449,0.720154722,0.243004199,0.009000022,109.63,1.102
57,139.2032238,204923.4718,0.738276705,0.25427101,0.00900001,109.63,1.102
58,147.6972327,198197.9585,0.708491196,0.246851272,0.009000012,109.63,1.102
59,122.1801511,203439.4475,0.731857311,0.27140709,0.009000011,109.63,1.102
60,134.1102173,204491.3478,0.728307472,0.259053924,0.008999994,109.63,1.102
61,139.4888461,196041.9314,0.730260135,0.254010839,0.00900003,109.63,1.102
62,132.6887234,196933.0067,0.711748874,0.260438164,0.009000016,109.63,1.102
63,151.3376815,194075.2629,0.713290813,0.243864396,0.009000028,109.63,1.102
64,139.4950848,204876.8805,0.722652506,0.25400499,0.009000019,109.63,1.102
65,150.079827,199769.9613,0.715411882,0.244884269,0.009000033,109.63,1.102
66,133.5132858,200408.1197,0.723602829,0.259632333,0.00899999,109.63,1.102
67,138.8793189,196550.6921,0.717323436,0.25456736,0.00900001,109.63,1.102
68,147.4715545,194865.548,0.715288513,0.247039976,0.009000005,109.63,1.102
69,134.6543369,197506.6489,0.731604882,0.258530696,0.009000043,109.63,1.102
70,145.7253375,198379.9655,0.708990527,0.248515631,0.009,109.63,1.102
71,154.6698976,201638.9902,0.719046422,0.241223196,0.009000029,109.63,1.102
72,135.5389698,197140.2344,0.722603256,0.257685137,0.009000009,109.63,1.102
73,143.7405751,200636.9999,0.725111957,0.250226046,0.009000039,109.63,1.102
74,137.2339971,196751.2305,0.722950849,0.256088354,0.008999976,109.63,1.102
75,159.1694323,200530.245,0.716155796,0.237789089,0.009000021,109.63,1.102
76,138.7080453,201891.894,0.72413985,0.254724531,0.009000014,109.63,1.102
77,155.8346766,193993.151,0.710633045,0.240319918,0.009000023,109.63,1.102
78,149.7600272,199155.9895,0.720019308,0.245145144,0.009,109.63,1.102
79,156.0422846,202759.244,0.71884785,0.240160234,0.009000041,109.63,1.102
80,123.6210241,211212.7208,0.752763377,0.269820774,0.009000012,109.63,1.102
81,128.3787171,209998.5252,0.744767112,0.264773748,0.009000008,109.63,1.102
82,151.6280115,194101.2931,0.702855399,0.243630765,0.009000025,109.63,1.102
83,136.7208367,197969.8425,0.713470588,0.256568826,0.008999999,109.63,1.102
84,132.0076437,197782.4194,0.72683287,0.261109382,0.009000032,109.63,1.102
85,141.9745374,205215.9362,0.723072776,0.251777337,0.009000025,109.63,1.102
86,143.8933795,197491.0631,0.715593222,0.250092947,0.009000025,109.63,1.102
87,138.3707052,199603.4601,0.733531833,0.255034776,0.009000009,109.63,1.102
88,141.313419,204968.5548,0.735670795,0.252365002,0.008999982,109.63,1.102
89,140.4489659,198571.5271,0.724546679,0.253140822,0.009000008,109.63,1.102
90,129.6504994,201157.9521,0.724525151,0.263472313,0.009000034,109.63,1.102
91,143.140514,198959.1,0.729866343,0.250749263,0.008999987,109.63,1.102
92,136.546574,202765.757,0.733495139,0.256732477,0.008999998,109.63,1.102
93,148.3978375,193917.6756,0.714325285,0.246268237,0.009000039,109.63,1.102
94,138.0718925,197716.9955,0.712542041,0.255310746,0.00900002,109.63,1.102
95,146.6550535,196487.6098,0.712853709,0.247727019,0.009000026,109.63,1.102
96,134.1511504,201051.9029,0.718428609,0.259014571,0.009000006,109.63,1.102
97,138.1380098,201877.0364,0.717721829,0.255249144,0.008999985,109.63,1.102
98,146.8988482,198768.0915,0.723420798,0.247521206,0.009000015,109.63,1.102
99,142.3267719,192361.1438,0.718870979,0.251465658,0.00900003,109.63,1.102
100,144.4513537,194676.1055,0.715385733,0.249608829,0.008999979,109.63,1.102
101,140.4693442,197172.2978,0.720412246,0.253122871,0.009000038,109.63,1.102
102,141.6637582,195546.4874,0.716772811,0.252053286,0.00900002,109.63,1.102
103,149.2161006,195724.8809,0.709576803,0.245591914,0.009000027,109.63,1.102
104,140.6734707,205122.5446,0.72519619,0.252938895,0.009000019,109.63,1.102
105,169.6832098,194156.7324,0.705079317,0.230304295,0.009000009,109.63,1.102
106,142.0276753,198225.8303,0.719305866,0.251730603,0.009000052,109.63,1.102
107,134.8376764,197141.4127,0.712911989,0.258354634,0.009000026,109.63,1.102
108,149.9439982,194299.1713,0.715041808,0.244995409,0.009000051,109.63,1.102
109,138.407601,195251.6983,0.704971656,0.255001214,0.00900004,109.63,1.102
110,129.342958,201015.5958,0.729652258,0.263784976,0.009000008,109.63,1.102
111,134.8523457,202292.1749,0.718852643,0.258340477,0.009000019,109.63,1.102
112,140.5106459,196474.3834,0.723418661,0.253085871,0.009000052,109.63,1.102
113,153.032867,196052.0844,0.703767088,0.24250898,0.008999956,109.63,1.102
114,135.6541595,196368.6418,0.708779775,0.257576094,0.009000035,109.63,1.102
115,141.664289,203441.2214,0.734679549,0.25205281,0.00900002,109.63,1.102
116,145.3664601,195488.3182,0.732052589,0.248822796,0.009000042,109.63,1.102
117,136.8228785,203290.7636,0.731139805,0.256473352,0.009000015,109.63,1.102
118,142.4935653,195354.5837,0.70648057,0.251318127,0.009000008,109.63,1.102
119,152.0026452,204540.457,0.728440655,0.243330344,0.009000024,109.63,1.102
120,133.9228857,200653.2553,0.729180269,0.259235247,0.009000008,109.63,1.102
121,136.8495025,199962.3273,0.72898025,0.256448481,0.00900002,109.63,1.102
122,149.1764596,194858.3157,0.712308781,0.245624644,0.009000034,109.63,1.102
123,139.1490876,200090.4179,0.719912674,0.254320839,0.009000036,109.63,1.102
124,148.8712263,199203.5167,0.714295641,0.245876124,0.00900002,109.63,1.102
125,133.4366515,204849.2505,0.722957059,0.259707247,0.009000016,109.63,1.102
126,140.0304613,198045.8696,0.725645542,0.253519,0.009000021,109.63,1.102
127,140.3187497,199956.7186,0.722630414,0.253258612,0.009000034,109.63,1.102
128,149.2373418,194534.6291,0.704444983,0.245574362,0.009000022,109.63,1.102
129,138.6714748,195476.2177,0.728093976,0.254758471,0.009000039,109.63,1.102
130,145.8122172,198100.1368,0.722248532,0.248441641,0.009000004,109.63,1.102
131,146.4343094,205599.5577,0.717002392,0.247913747,0.009000032,109.63,1.102
132,136.6973516,197879.6302,0.715546397,0.256591407,0.009000037,109.63,1.102
133,138.6275189,201982.1143,0.715236981,0.254798806,0.009000036,109.63,1.102
134,144.0595802,196165.7169,0.718656336,0.249948314,0.009000001,109.63,1.102
