ID,E (GPa),sy1,sy (GPa),n,hm (um),nu,base2,ref,refi,localstringt2D,Wp/Wt,C (GPa),dP/dh (N/m)
100,10,0.03,0.3,0.05,0.1,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.3 n=0.05 nu=0.1 hm=0.1 base=2D_r0_00 contact_penalty=1e4 prefix=100,0.226319197,-2.18E-08,4.294144627
101,10,0.03,0.1,0.05,0.3,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.1 n=0.05 nu=0.1 hm=0.3 base=2D_r0_00b contact_penalty=1e4 prefix=101,0.225916716,-2.25E-08,15.08497926
102,10,0.03,0.07,0.05,0.4,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.07 n=0.05 nu=0.1 hm=0.4 base=2D_r0_00b contact_penalty=1e4 prefix=102,0.226473024,-2.29E-08,20.66477924
103,10,0.03,0.06,0.05,0.5,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.06 n=0.05 nu=0.1 hm=0.5 base=2D_r0_00b contact_penalty=1e4 prefix=103,,,
104,10,0.1,0.16,0.05,0.6,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.16 n=0.05 nu=0.1 hm=0.6 base=2D_r0_05 prefix=104,,,
105,10,0.1,0.14,0.05,0.7,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.14 n=0.05 nu=0.1 hm=0.7 base=2D_r0_05b prefix=105,,,
106,10,0.1,0.5,0.05,0.2,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.5 n=0.05 nu=0.1 hm=0.2 base=2D_r0_05b prefix=106,,,
107,10,0.1,0.66,0.05,0.15,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.66 n=0.05 nu=0.1 hm=0.15 base=2D_r0_05b prefix=107,,,
108,10,0.3,1.2,0.05,0.25,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=1.2 n=0.05 nu=0.1 hm=0.25 base=2D_r0_10 prefix=108,,,
109,10,0.3,0.85,0.05,0.35,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.85 n=0.05 nu=0.1 hm=0.35 base=2D_r0_10b prefix=109,,,
