Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
0,107.9393156,193559.4298,0.692562359,0.288756567,0.009000018,109.63,1.121
1,93.49915329,203446.6071,0.735045147,0.310254063,0.009000003,109.63,1.121
2,100.3925486,199288.8501,0.719496107,0.299413721,0.009000049,109.63,1.121
3,101.2183977,201837.9603,0.727095742,0.298189615,0.009000041,109.63,1.121
4,102.3099041,197541.5726,0.701588322,0.296594377,0.009000021,109.63,1.121
5,95.04899219,196718.0785,0.731936675,0.307713964,0.008999988,109.63,1.121
6,95.16322854,198651.1526,0.728776764,0.307529138,0.008999983,109.63,1.121
7,98.63300093,201055.9477,0.719661204,0.302071988,0.009000013,109.63,1.121
8,99.74516202,197718.6794,0.720479369,0.300382457,0.008999968,109.63,1.121
9,94.96825103,201774.5011,0.732515289,0.307845148,0.009000012,109.63,1.121
10,89.55463871,208949.9797,0.757197567,0.317013711,0.009000035,109.63,1.121
11,89.09941735,203138.7033,0.730890427,0.317822737,0.009000047,109.63,1.121
12,97.94701265,201311.5389,0.712588874,0.303128065,0.00900002,109.63,1.121
13,93.44170372,198032.0625,0.72527244,0.310350521,0.009000066,109.63,1.121
14,93.17078021,202806.7174,0.729979965,0.310800493,0.009000013,109.63,1.121
15,99.18640298,202034.1126,0.72419409,0.301227804,0.008999995,109.63,1.121
16,96.855627,201494.6344,0.718165825,0.304830435,0.008999979,109.63,1.121
17,98.8079534,203208.5369,0.71676102,0.301804669,0.009000027,109.63,1.121
18,90.63273656,202672.6613,0.728640162,0.315123047,0.00900006,109.63,1.121
19,98.87352975,206500.0508,0.724783936,0.301703893,0.008999987,109.63,1.121
20,90.53803481,201114.2715,0.736067572,0.315287295,0.009000031,109.63,1.121
21,102.7396324,199404.1123,0.722148371,0.295973185,0.009000005,109.63,1.121
22,95.42600065,203536.407,0.732315139,0.307106135,0.009000025,109.63,1.121
23,100.5879205,195692.2997,0.704630602,0.29912274,0.009000045,109.63,1.121
24,91.79584818,206897.1439,0.732668992,0.313119966,0.009000043,109.63,1.121
25,90.5099275,200769.3833,0.726326679,0.315336388,0.009000039,109.63,1.121
26,91.30795047,199157.7411,0.735894231,0.313954971,0.009000017,109.63,1.121
27,106.4427613,197950.0171,0.714021745,0.290779763,0.009000041,109.63,1.121
28,100.3505492,199194.8304,0.725588064,0.299475442,0.008999993,109.63,1.121
29,89.62649831,209142.1272,0.741150971,0.31688619,0.009000011,109.63,1.121
30,103.7317345,201171.8648,0.721953537,0.294555003,0.00900004,109.63,1.121
31,92.38747766,200955.1914,0.732174686,0.312115748,0.009000041,109.63,1.121
32,99.93789582,202939.2342,0.706816369,0.300093701,0.00900003,109.63,1.121
33,91.60351959,210330.7142,0.744212798,0.31344814,0.009000022,109.63,1.121
34,99.18989624,203912.4459,0.726098903,0.301222573,0.008999999,109.63,1.121
35,103.0409752,198207.2879,0.707388074,0.295540175,0.00900001,109.63,1.121
36,95.4395479,201143.0361,0.725631446,0.307084391,0.009000028,109.63,1.121
37,95.01990507,199757.0593,0.713549902,0.307761465,0.009000012,109.63,1.121
38,93.4182867,194493.4948,0.717387577,0.310388618,0.00900002,109.63,1.121
39,98.54412401,196542.9578,0.719108991,0.302207559,0.008999977,109.63,1.121
40,91.73936049,203871.2732,0.731431358,0.313216128,0.00900003,109.63,1.121
41,93.01176214,202135.3156,0.743775456,0.311066068,0.009000013,109.63,1.121
42,96.26878697,198100.7783,0.733958941,0.305759161,0.00900004,109.63,1.121
43,94.80902588,209293.7141,0.734962793,0.308103716,0.009000022,109.63,1.121
44,86.93887894,208977.978,0.746443209,0.321747365,0.009000032,109.63,1.121
45,86.81214746,209433.6812,0.73924795,0.321981791,0.009000013,109.63,1.121
46,96.85160865,198366.6279,0.730070104,0.304837921,0.009000048,109.63,1.121
47,94.01976133,198783.2677,0.723073387,0.309394397,0.009000032,109.63,1.121
48,94.22093713,202759.2638,0.723313486,0.309063615,0.009000014,109.63,1.121
49,94.72146817,197857.6839,0.719260677,0.308246254,0.009000032,109.63,1.121
50,101.7540933,202461.776,0.717742133,0.297403106,0.009000008,109.63,1.121
51,93.27942272,200447.3082,0.728651982,0.310619621,0.009000023,109.63,1.121
52,97.69195264,198425.542,0.718205359,0.303523234,0.009000003,109.63,1.121
53,93.60815859,198101.7731,0.718332727,0.310073915,0.009000034,109.63,1.121
54,95.72390308,203520.1031,0.733730546,0.306627261,0.008999988,109.63,1.121
55,94.83852576,199993.8182,0.719944196,0.308055635,0.009000012,109.63,1.121
56,100.2950767,198166.1885,0.710853238,0.299558824,0.009000028,109.63,1.121
57,91.10167897,197770.8879,0.720920413,0.31431027,0.009000021,109.63,1.121
58,104.0656602,199266.8593,0.714872473,0.294081793,0.009000025,109.63,1.121
59,88.90195881,208882.4941,0.735322239,0.318174591,0.008999996,109.63,1.121
60,94.78097283,203575.9414,0.727088133,0.308149765,0.009000048,109.63,1.121
61,98.45507296,196127.8851,0.705579692,0.302345045,0.009000027,109.63,1.121
62,83.48084934,206474.4303,0.741303681,0.328343879,0.009000046,109.63,1.121
63,89.71171193,203976.1614,0.740823414,0.316736463,0.009000057,109.63,1.121
64,96.21162493,200463.9814,0.717906106,0.305848984,0.008999982,109.63,1.121
65,95.09656744,200154.2706,0.719417782,0.307637156,0.008999998,109.63,1.121
66,94.71880268,195662.3104,0.72547879,0.308250733,0.00900004,109.63,1.121
67,101.3221169,201624.8905,0.722084415,0.298037011,0.009000044,109.63,1.121
68,93.05940586,202190.5618,0.730072678,0.310986739,0.009000031,109.63,1.121
69,93.5904178,202191.837,0.740203693,0.31010319,0.009000028,109.63,1.121
70,92.60393849,202525.1215,0.734119362,0.311750909,0.00900005,109.63,1.121
71,92.81871198,202519.3495,0.732155959,0.311390005,0.009000049,109.63,1.121
72,94.16509279,208924.2579,0.721386978,0.309155315,0.009000018,109.63,1.121
73,93.23255208,208179.9461,0.734081222,0.310698078,0.009000045,109.63,1.121
74,96.19980828,203726.8963,0.722499037,0.305868342,0.009000016,109.63,1.121
75,93.0240759,200694.811,0.72185469,0.311046033,0.009000045,109.63,1.121
76,94.63337854,203599.7041,0.726754624,0.308389673,0.009000031,109.63,1.121
77,100.8707894,198684.7111,0.718936659,0.298702221,0.008999996,109.63,1.121
78,97.94908959,196786.084,0.718666536,0.303124938,0.009000025,109.63,1.121
79,89.92898497,206572.2619,0.725159034,0.316352922,0.009000018,109.63,1.121
80,95.88725474,200828.5376,0.718511352,0.306366883,0.009000042,109.63,1.121
81,92.33293512,205493.997,0.730549939,0.312207756,0.009000031,109.63,1.121
82,98.71561037,204199.6682,0.721251898,0.301945631,0.009000017,109.63,1.121
83,93.80429282,200761.2754,0.723910119,0.309749537,0.009000032,109.63,1.121
84,92.09023244,202720.5728,0.73564518,0.312618592,0.009000014,109.63,1.121
85,89.99015743,210271.0711,0.736604536,0.31624569,0.009000036,109.63,1.121
86,90.14057287,196075.39,0.711368726,0.315981874,0.009000044,109.63,1.121
87,87.92125786,205091.2982,0.741115849,0.319944474,0.009000013,109.63,1.121
88,105.579087,194699.2135,0.710885173,0.291966456,0.009000027,109.63,1.121
89,97.08360499,198795.7994,0.720752856,0.30447359,0.009000055,109.63,1.121
90,100.4708976,195262.6081,0.716049349,0.299296619,0.009000029,109.63,1.121
91,104.6484554,195684.7346,0.722104675,0.293262021,0.009000041,109.63,1.121
92,78.19602596,202406.9705,0.74455984,0.339257151,0.009000004,109.63,1.121
93,88.93678575,205825.2978,0.738615049,0.318113098,0.009000042,109.63,1.121
94,101.1900441,200984.1053,0.731125718,0.29823086,0.009000009,109.63,1.121
95,90.59527933,205960.9659,0.729148013,0.315188541,0.009000081,109.63,1.121
96,90.30277095,203054.1412,0.731998799,0.315698112,0.009000053,109.63,1.121
97,91.87176073,204002.6488,0.728722004,0.312990177,0.00900002,109.63,1.121
98,86.93572148,209524.222,0.741038791,0.321753313,0.009000037,109.63,1.121
99,95.98890207,202496.4069,0.71882323,0.306204183,0.009000016,109.63,1.121
100,94.08196972,201708.4566,0.732536587,0.309291071,0.008999972,109.63,1.121
101,92.18603245,199687.0551,0.722851771,0.312454933,0.008999946,109.63,1.121
102,102.2204496,196661.033,0.713761146,0.29672466,0.009000053,109.63,1.121
103,96.91559292,201545.6407,0.718883219,0.30473717,0.009000042,109.63,1.121
104,100.9489243,201883.6791,0.727034112,0.298587003,0.00900002,109.63,1.121
105,95.58312981,200366.9884,0.714912838,0.306853201,0.009000001,109.63,1.121
106,98.75596828,202834.2618,0.722767552,0.301883278,0.008999978,109.63,1.121
107,94.29949845,206021.6454,0.730909466,0.308934982,0.009000022,109.63,1.121
108,94.26863688,197134.9563,0.711452713,0.308986244,0.009000062,109.63,1.121
109,100.9952955,196046.0956,0.715026448,0.298518738,0.009000038,109.63,1.121
110,102.6085129,197405.4651,0.705306108,0.296162414,0.009000016,109.63,1.121
111,95.37147029,205930.1666,0.719801683,0.307194186,0.00900004,109.63,1.121
112,98.25524073,202160.5225,0.730719643,0.302652154,0.009000016,109.63,1.121
113,102.7712798,193141.8078,0.707332701,0.295928248,0.009000044,109.63,1.121
114,96.83188231,200281.7042,0.718859404,0.30486877,0.009000036,109.63,1.121
115,96.01363834,197291.3388,0.711671473,0.306164263,0.008999988,109.63,1.121
116,100.5492382,197697.5594,0.713718013,0.299180031,0.009000031,109.63,1.121
117,96.56483152,195652.8001,0.707733982,0.30528993,0.00900003,109.63,1.121
118,91.69665284,201315.4222,0.721221706,0.313288638,0.009000005,109.63,1.121
119,87.80613046,204754.423,0.736536609,0.320154654,0.009000041,109.63,1.121
120,90.47967989,197636.5373,0.731329,0.315388079,0.008999981,109.63,1.121
121,104.9959952,200012.7141,0.712726438,0.292776036,0.009000026,109.63,1.121
122,97.28711395,206105.5608,0.72159447,0.304154612,0.009000034,109.63,1.121
123,98.08614385,198492.4387,0.717947335,0.302912554,0.008999994,109.63,1.121
124,92.03647878,200534.9857,0.734833114,0.312710026,0.009000023,109.63,1.121
125,91.44582041,196155.2011,0.720440844,0.313717852,0.008999996,109.63,1.121
126,91.30469208,208138.9835,0.726274394,0.313960525,0.009000014,109.63,1.121
127,92.23358876,201848.3402,0.718774222,0.312374956,0.00899998,109.63,1.121
128,89.63875051,201938.6803,0.738586796,0.316864575,0.009000014,109.63,1.121
