Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),Er (GPa),sy (GPa)
0,135.4631855,178953.1933,0.685787995,0.257758333,0.009000087,109.63,1.115
2,146.8447477,178428.5221,0.666214649,0.247566634,0.009000003,109.63,1.115
3,146.5291118,177831.014,0.694553055,0.2478335,0.00900003,109.63,1.115
4,144.6728697,179282.8584,0.69715336,0.249418175,0.009000016,109.63,1.115
5,140.9981841,180817.778,0.69725379,0.252647119,0.008999994,109.63,1.115
6,149.2434271,183428.4438,0.689631836,0.245569603,0.00900004,109.63,1.115
8,156.6184509,188250.4765,0.696900699,0.239718165,0.009000048,109.63,1.115
9,142.2026301,184105.1628,0.694602267,0.251574547,0.008999969,109.63,1.115
10,147.3933686,185637.2559,0.704225612,0.247105375,0.008999996,109.63,1.115
11,169.99934,182393.5224,0.68138206,0.230090612,0.009000052,109.63,1.115
14,165.1280562,177251.7087,0.685101221,0.233459037,0.008999995,109.63,1.115
15,159.1461382,177168.7513,0.68607676,0.237806265,0.009000004,109.63,1.115
16,144.9466275,180411.2706,0.703109537,0.249182455,0.009000011,109.63,1.115
17,153.3603939,178723.9926,0.68901052,0.242250618,0.00900001,109.63,1.115
18,139.1628244,178836.4288,0.687839827,0.254308325,0.009000039,109.63,1.115
21,157.4046358,180925.0618,0.683062966,0.23911831,0.009000014,109.63,1.115
23,157.3606131,183001.6716,0.700753908,0.239151776,0.009000016,109.63,1.115
24,170.9892973,178189.7044,0.671833976,0.229423119,0.009000016,109.63,1.115
25,160.9553078,173686.9414,0.664371707,0.236466462,0.009000039,109.63,1.115
26,155.2672485,178345.8035,0.676964981,0.24075918,0.009000063,109.63,1.115
27,170.9592526,179768.3742,0.680293159,0.229443633,0.009000044,109.63,1.115
28,141.2219797,182687.7901,0.71083188,0.252446779,0.008999989,109.63,1.115
29,150.8177999,180960.7383,0.684380489,0.244284046,0.009000006,109.63,1.115
30,145.5550884,185076.723,0.693751043,0.248661169,0.009000017,109.63,1.115
31,155.0960371,177097.7264,0.684748733,0.240891481,0.009000022,109.63,1.115
32,145.7468085,186376.3318,0.683886781,0.248497501,0.009000012,109.63,1.115
33,160.2993969,180825.5873,0.680259287,0.23694979,0.009000042,109.63,1.115
35,164.4726046,185911.786,0.704820982,0.233924249,0.009000032,109.63,1.115
36,153.1581611,182381.0847,0.693804258,0.242410573,0.009000016,109.63,1.115
37,150.7682248,178056.9943,0.688590522,0.244324046,0.008999994,109.63,1.115
38,161.9611626,178111.6768,0.670847459,0.235730689,0.009000013,109.63,1.115
39,153.9476147,183116.6115,0.692935066,0.241788456,0.009000033,109.63,1.115
40,153.4251484,180411.3417,0.688743213,0.242200192,0.009000062,109.63,1.115
41,144.194212,185351.2302,0.692776165,0.249831852,0.009000019,109.63,1.115
42,145.4207494,181447.4664,0.702927743,0.248775879,0.009000008,109.63,1.115
43,152.3914442,177724.3093,0.678983296,0.243019677,0.00900002,109.63,1.115
44,149.3998797,182634.3087,0.686444343,0.245440638,0.009000014,109.63,1.115
45,145.9541172,190288.9907,0.696424748,0.248320859,0.009000005,109.63,1.115
46,150.6968651,185689.622,0.686583058,0.244382524,0.009000041,109.63,1.115
48,156.4406694,176854.047,0.671167592,0.239854243,0.009000041,109.63,1.115
49,155.8906448,182945.2254,0.68262443,0.240277005,0.009000041,109.63,1.115
50,157.0246697,181802.9012,0.695044685,0.239407427,0.009000013,109.63,1.115
51,161.7790131,181525.6231,0.681892999,0.235863933,0.009000057,109.63,1.115
52,153.4736596,181361.9842,0.67551747,0.242161191,0.009000009,109.63,1.115
53,158.3385045,182286.3209,0.68015824,0.238412449,0.009000039,109.63,1.115
54,148.2373277,183293.1331,0.687963039,0.246400847,0.008999989,109.63,1.115
55,167.7153562,181764.3584,0.676398829,0.231651592,0.009000019,109.63,1.115
56,157.4647138,185665.0023,0.685834195,0.239073149,0.009000049,109.63,1.115
57,149.820685,186596.8349,0.683546672,0.245095766,0.009000018,109.63,1.115
58,148.1301955,185821.6222,0.702773863,0.246490388,0.009000022,109.63,1.115
59,166.2229464,185499.9531,0.685249489,0.232689282,0.009000025,109.63,1.115
60,143.9487692,180630.393,0.689045316,0.250043971,0.008999963,109.63,1.115
61,156.6693387,181698.8054,0.688835331,0.239678334,0.00899998,109.63,1.115
62,159.3686341,181739.0338,0.676888176,0.237640555,0.00900003,109.63,1.115
63,144.5388993,187412.3889,0.691687253,0.249533198,0.008999977,109.63,1.115
64,158.1946231,183523.7767,0.683728704,0.238520581,0.009000019,109.63,1.115
65,151.6530037,190319.3781,0.691606059,0.243610749,0.009000029,109.63,1.115
66,154.3530267,186466.6124,0.693619923,0.241470793,0.009000039,109.63,1.115
67,145.1086547,184440.2233,0.688021477,0.249042966,0.008999987,109.63,1.115
68,154.5006409,187977.8953,0.689037073,0.241355114,0.009000016,109.63,1.115
69,158.7163869,185426.0384,0.693531626,0.238128067,0.009000009,109.63,1.115
70,149.7945914,189340.6023,0.688921418,0.245117192,0.009000024,109.63,1.115
71,151.6318961,185645.63,0.700010111,0.243627502,0.009000014,109.63,1.115
72,153.2396881,183925.9101,0.689425953,0.242346096,0.009000017,109.63,1.115
73,147.5365786,180608.7884,0.698157211,0.246985934,0.009000034,109.63,1.115
74,156.069875,185488.9662,0.68610834,0.240138644,0.009000014,109.63,1.115
75,155.610282,184302.1119,0.680132169,0.240493191,0.009000028,109.63,1.115
76,154.7928931,181450.9438,0.6916556,0.241127101,0.009000012,109.63,1.115
77,147.5773718,183308.4664,0.684134734,0.246951218,0.008999992,109.63,1.115
80,151.0305762,182592.8378,0.68143014,0.244112394,0.009000042,109.63,1.115
81,155.0286734,187083.6075,0.698802151,0.240943424,0.008999993,109.63,1.115
82,153.8181963,184656.1272,0.687119071,0.241889828,0.009000009,109.63,1.115
83,154.9228612,188037.0625,0.691478432,0.241025895,0.009000008,109.63,1.115
84,158.2723333,183543.7117,0.68983016,0.238461672,0.008999993,109.63,1.115
85,158.3156953,183132.8887,0.695990099,0.238429171,0.009000005,109.63,1.115
86,144.3647097,194765.0305,0.715252461,0.249684426,0.00900003,109.63,1.115
87,146.0925357,181553.7126,0.699496042,0.248203362,0.009000017,109.63,1.115
88,152.9388565,183936.0541,0.686004123,0.242584192,0.009000007,109.63,1.115
89,141.9557098,194162.1081,0.710075733,0.251793896,0.009000016,109.63,1.115
90,163.4272958,179015.9723,0.677041884,0.234671167,0.009000032,109.63,1.115
91,161.1562195,182014.1918,0.684727043,0.236318861,0.009000028,109.63,1.115
92,159.7940111,180351.2898,0.689642943,0.237323481,0.008999988,109.63,1.115
93,154.8209371,194327.9096,0.694443836,0.241105293,0.009000014,109.63,1.115
94,156.4463769,185796.8987,0.687303854,0.239849814,0.009000037,109.63,1.115
95,163.2443098,187286.4885,0.688167903,0.234802561,0.009000025,109.63,1.115
96,142.1313462,190238.176,0.706218592,0.251638253,0.009000014,109.63,1.115
97,154.3963024,179571.2462,0.687622952,0.241436884,0.009000034,109.63,1.115
98,143.5039253,189635.0485,0.702943829,0.250432143,0.009000029,109.63,1.115
99,167.2923651,180803.9462,0.690019092,0.231944527,0.009000039,109.63,1.115
100,140.7767103,186731.6876,0.707796965,0.252845697,0.008999988,109.63,1.115
101,149.9815183,185213.1099,0.687461034,0.244964389,0.009000024,109.63,1.115
102,147.9951558,191323.2936,0.69972243,0.246602569,0.009000004,109.63,1.115
103,147.3967245,183602.6926,0.700296972,0.247102332,0.00899998,109.63,1.115
104,158.8236007,184876.6188,0.682923086,0.23804807,0.009000038,109.63,1.115
105,158.4201556,182877.7674,0.692908512,0.238350673,0.009000014,109.63,1.115
106,149.0649504,199885.6878,0.739467639,0.245715886,0.00899999,109.63,1.115
108,148.8647224,181881.2371,0.692924386,0.245881518,0.009000022,109.63,1.115
109,148.7429026,185055.4427,0.692383469,0.245981808,0.008999994,109.63,1.115
110,160.1608813,185989.7791,0.687741448,0.237051756,0.009000006,109.63,1.115
111,150.7835346,181505.4947,0.696765991,0.244311699,0.008999999,109.63,1.115
112,150.7658096,186022.1043,0.700681973,0.244326272,0.009000014,109.63,1.115
113,140.7010352,190484.5334,0.704194139,0.252913927,0.009000006,109.63,1.115
114,153.6074147,182372.2114,0.694023203,0.242055287,0.008999975,109.63,1.115
115,156.411554,185026.2652,0.685735541,0.239876564,0.009000041,109.63,1.115
116,149.2798733,191842.3807,0.697860066,0.245539363,0.009000021,109.63,1.115
117,167.4625752,184707.9252,0.687940049,0.231826914,0.009000061,109.63,1.115
118,157.7777527,191282.8016,0.696201539,0.238835548,0.009000025,109.63,1.115
119,172.7221417,185973.1436,0.681702375,0.228269437,0.009000022,109.63,1.115
120,150.782499,185930.2158,0.696213097,0.244312435,0.008999991,109.63,1.115
121,161.5485264,184927.013,0.681184733,0.236031693,0.009000023,109.63,1.115
122,146.3813943,192176.0549,0.69918072,0.247958023,0.008999994,109.63,1.115
123,154.839591,187813.0221,0.695286962,0.241090983,0.00900003,109.63,1.115
125,146.8001361,189178.5157,0.698200917,0.247604631,0.009000031,109.63,1.115
126,163.0536411,186147.6284,0.685900681,0.234939956,0.009000036,109.63,1.115
127,156.4907336,186386.1588,0.688161101,0.239815659,0.009000025,109.63,1.115
128,151.1757524,179253.5556,0.685160391,0.243995017,0.009000032,109.63,1.115
129,149.3877965,194342.8807,0.690309631,0.245450724,0.009000026,109.63,1.115
130,152.3447816,183979.0171,0.686985687,0.243057231,0.009000045,109.63,1.115
131,149.6156461,187535.0661,0.696910309,0.245263918,0.009000038,109.63,1.115
132,152.3039208,185978.7323,0.701688652,0.243089621,0.009000029,109.63,1.115
133,159.2859898,188575.1586,0.688552663,0.237701893,0.009000007,109.63,1.115
134,168.0048971,185958.7992,0.679450418,0.231451911,0.00900002,109.63,1.115
