n,Er (GPa),sy (GPa),C (GPa),dP/dh (N/m),Wp/Wt,hm (um),
0.263087385,175.6950702,1.692938284,136.961838,925948.6294,0.699700617,1.18E+00,
0.304473162,221.385631,2.041008132,172.391124,890035.3619,0.680786896,9.46E-01,
0.281124928,143.1940876,1.585577714,121.6869358,740873.8089,0.672910752,1.15E+00,
0.351006208,153.5154346,1.835720282,140.5989162,985044.3886,0.626216344,1.49E+00,
0.468561914,159.6412733,1.380024872,141.1810373,251929.8202,0.620788325,3.77E-01,
0.041904485,42.75377256,1.467634118,54.76858656,290830.017,0.519760722,1.49E+00,
0.473548766,194.559496,0.199836225,78.38135234,1049135.542,0.833475265,1.21E+00,
0.0935761,138.1584804,0.984863348,78.95792301,247899.2759,0.823748699,3.41E-01,
0.492821209,57.02626747,0.9158618,64.99271629,119717.5856,0.535661365,4.79E-01,
0.39707303,209.7798427,1.599285668,164.2540543,895101.1357,0.667137668,1.02E+00,
0.14032595,108.9666645,1.803942941,103.0597715,195163.9515,0.658078851,3.81E-01,
0.38928849,193.6885596,1.747570381,161.4501683,220641.2885,0.648052313,2.71E-01,
0.194008191,75.43785661,0.740121401,57.9242758,48945.13152,0.742814462,1.28E-01,
0.472139745,170.5395742,1.284931127,143.9128731,959069.0955,0.636223728,1.35E+00,
0.341744925,124.20994,0.522653206,72.9159444,354672.6306,0.785263469,5.95E-01,
0.43848013,117.448992,2.385357673,136.5337701,592550.2456,0.501997294,1.22E+00,
0.358608727,65.12235413,1.184279791,72.45024595,83229.36342,0.562249741,2.86E-01,
0.154875489,216.7361792,0.760565185,84.64492562,704923.8913,0.872689169,6.40E-01,
0.339469387,226.0205334,0.27279031,69.30224039,156234.182,0.88538446,1.45E-01,
0.335767043,104.9452232,1.679059322,108.3989635,528212.4661,0.588149096,1.14E+00,
0.287722653,98.77449546,0.87212275,77.4780345,583866.0515,0.715222545,1.24E+00,
0.427327622,120.8175709,0.361493818,69.51861785,388308.7298,0.777923451,6.88E-01,
0.33718499,212.857507,0.878327685,120.2672651,760446.2224,0.778730923,7.98E-01,
0.16676422,77.44825445,1.004288502,66.97633286,229571.3114,0.703842774,6.00E-01,
0.276746547,85.99172751,2.575755412,108.9160359,405651.1718,0.478750425,1.11E+00,
0.090038129,161.4650322,2.556585073,142.6203784,818701.9738,0.677699675,1.10E+00,
0.222971966,165.4397146,0.308923395,49.76356159,707012.4896,0.902003086,8.09E-01,
0.134324226,121.4468451,1.310490605,91.97720412,751952.7198,0.744046687,1.25E+00,
0.239988906,68.88982654,2.994534716,97.37527216,38185.31613,0.405802951,1.35E-01,
0.065081718,102.7476032,1.804880857,96.36372303,524493.7485,0.674471605,1.06E+00,
0.185519949,199.8180093,0.994869601,101.501841,563663.8107,0.826030434,5.77E-01,
0.14968057,103.3979766,0.852425501,68.89008747,62460.76164,0.784763134,1.17E-01,
0.020310363,225.7833495,1.5280116,112.4140179,740690.9983,0.849280291,6.31E-01,
0.165561892,15.13301638,0.91955084,23.77345104,63237.20015,0.360274839,9.98E-01,
0.46963414,154.2825473,0.505235114,97.28433178,963069.1837,0.739879188,1.42E+00,
0.193055687,230.4291185,1.509029383,136.6308456,1474527.411,0.783772966,1.39E+00,
0.494174676,115.3619447,1.510484629,120.5286466,291916.2543,0.555821761,6.01E-01,
0.174955158,33.94097954,0.266802598,23.05002785,101639.0457,0.791072048,5.50E-01,
0.41319839,65.18961849,0.393223744,49.64000923,47147.11082,0.714135953,1.52E-01,
0.139626648,24.19182643,0.916228937,33.09935215,125059.5937,0.47517964,1.15E+00,
0.438004668,164.3953362,0.901840809,120.1562975,670468.473,0.697412097,9.40E-01,
0.158647483,145.6587642,2.007176297,125.9320908,218598.0952,0.682967218,3.24E-01,
0.257228726,126.5337169,0.18275044,35.35911977,111149.1205,0.909522216,1.62E-01,
0.166923366,114.9366228,2.604505487,125.6798891,696645.5863,0.574550126,1.37E+00,
0.008891719,163.0875637,0.783802595,63.49675221,1320591.243,0.895958808,1.39E+00,
0.495068471,63.96545842,0.531211637,59.09598775,105578.6625,0.629628344,3.66E-01,
0.043106565,226.7159282,1.220396803,99.30101937,1018198.511,0.868400556,8.53E-01,
0.059519407,30.91730366,0.759161292,34.90604634,70242.21471,0.608391597,4.64E-01,
0.058716369,101.0877401,1.513370018,87.08296166,54856.36492,0.713375631,1.09E-01,
0.148216238,39.01926899,0.079176257,10.63825123,106887.987,0.92499157,4.43E-01,
0.281543803,109.2753884,1.441199057,101.315243,156258.3481,0.646910909,3.13E-01,
0.364658966,158.585907,0.584379669,89.73260528,815055.0487,0.78439007,1.11E+00,
0.491448018,213.9976562,0.079701545,59.84387579,401229.1386,0.883315448,4.14E-01,
0.388210666,80.33684357,0.201174026,40.41880193,419824.4816,0.820198981,1.05E+00,
0.40584691,13.74681963,0.395899796,18.48112913,8643.555197,0.465370481,1.42E-01,
0.214581012,108.4870293,0.312633581,42.46585018,855909.7182,0.877263355,1.46E+00,
0.188190706,126.8411952,1.467340579,103.4687811,623062.6185,0.707974632,1.04E+00,
0.399401671,149.9915819,1.74005547,140.3135169,559832.7316,0.610158068,8.77E-01,
0.423980434,87.95296888,2.513724953,113.9100589,240334.3538,0.446576722,6.65E-01,
0.419250617,171.9478279,2.72403642,179.1953982,130255.6139,0.543534104,1.87E-01,
0.189051076,211.8303638,1.301770952,121.3585555,742516.2706,0.796567493,7.41E-01,
0.026124753,27.60135822,1.446297813,40.82674692,174699.1151,0.414017523,1.46E+00,
