  Best Complexity 19 | MSE = 10.93366 | Validation MSE = 11.14528 | Eqn: (-x0 + (1.0435324 - x2)*x1*0.00093924854/x3 - 1*5.3879285)/(1.2959424*(1.186366 - x2))
  Complexity 1 | MSE = 3260.23320 | Validation MSE = 3490.09329 | Eqn: x0
  Complexity 3 | MSE = 2154.57370 | Validation MSE = 2111.75522 | Eqn: x1**0.3770216
  Complexity 5 | MSE = 223.91566 | Validation MSE = 225.83969 | Eqn: x1*0.00021236236/x3
  Complexity 7 | MSE = 216.53777 | Validation MSE = 218.01372 | Eqn: x1*0.00020402492/x3 + 6.170055
  Complexity 8 | MSE = 70.68049 | Validation MSE = 70.08155 | Eqn: 0.00018188289*x1/(sqrt(x2)*x3)
  Complexity 9 | MSE = 53.76568 | Validation MSE = 54.02970 | Eqn: x1*(0.00033000167 + x2*(-0.00015672554))/x3
  Complexity 10 | MSE = 49.77020 | Validation MSE = 50.39294 | Eqn: x1*(0.0003726372 + exp(x2)*(-7.5075965e-5))/x3
  Complexity 11 | MSE = 38.08685 | Validation MSE = 39.02416 | Eqn: (1.9905806 - x2)*0.00018240332*x1/x3 - 10.2218075
  Complexity 12 | MSE = 28.47654 | Validation MSE = 28.91499 | Eqn: -x0 + x1*(0.001087867 + exp(x2)*(-0.00034229844))/x3
  Complexity 13 | MSE = 26.30201 | Validation MSE = 25.84595 | Eqn: -x0 + x1*(1.2467228 - x2)*0.00074526237/x3 - 1*9.337657
  Complexity 14 | MSE = 24.44425 | Validation MSE = 24.59969 | Eqn: -x0 + (exp(x2) - 3.1806479)*x1*(-0.000348076)/x3 - 5.1111856
  Complexity 15 | MSE = 15.57351 | Validation MSE = 16.77010 | Eqn: (-x0 + (1.2038063 - x2)*x1*0.00062371924/x3)/(x0**(-0.09388155))
  Complexity 17 | MSE = 12.41317 | Validation MSE = 12.40581 | Eqn: (x1*0.00087603554*(1.0590351 - x2)/x3 - (x0 + 5.2934313))/(1.2958934 - x2)
  Complexity 19 | MSE = 10.93366 | Validation MSE = 11.14528 | Eqn: (-x0 + (1.0435324 - x2)*x1*0.00093924854/x3 - 1*5.3879285)/(1.2959424*(1.186366 - x2))
  Best Complexity 20 | MSE = 116.65524 | Validation MSE = 110.90364 | Eqn: ((x0 + (x2 + 0.09823704)**35.73774)*(x2 + 0.10464844))**1.0783021*exp((x2 + 0.0760604)**9.34649)
  Complexity 1 | MSE = 3296.56300 | Validation MSE = 3344.81379 | Eqn: x0
  Complexity 3 | MSE = 2184.68800 | Validation MSE = 1991.62475 | Eqn: x1**0.3773068
  Complexity 5 | MSE = 704.21136 | Validation MSE = 702.96048 | Eqn: 165.76485**x2 + x0
  Complexity 7 | MSE = 518.57560 | Validation MSE = 509.99902 | Eqn: 219.0872**x2 + x0 - 1*19.53245
  Complexity 8 | MSE = 304.27167 | Validation MSE = 301.48878 | Eqn: x0*exp((x2 + 0.12328946)**8.214364)
  Complexity 9 | MSE = 289.60873 | Validation MSE = 298.09108 | Eqn: (x2*(90.41588**x2 + x0))**1.0989231
  Complexity 10 | MSE = 211.65044 | Validation MSE = 217.03250 | Eqn: (x0 + 95.69685)*exp(x2**3.9562464) - 123.65708
  Complexity 12 | MSE = 166.62082 | Validation MSE = 167.17962 | Eqn: (x0 + 30.226482)*exp((x2 + 0.09734615)**5.584337) - 50.815216
